CODGEO;SNHM22;SNHMC22;SNHMP22;SNHME22;SNHMO22;SNHMF22;SNHMFC22;SNHMFP22;SNHMFE22;SNHMFO22;SNHMH22;SNHMHC22;SNHMHP22;SNHMHE22;SNHMHO22;SNHM1822;SNHM2622;SNHM5022;SNHMF1822;SNHMF2622;SNHMF5022;SNHMH1822;SNHMH2622;SNHMH5022
01;15.9641106907137;26.622375748549;16.7089086848168;12.3180882565771;12.7609845535149;14.3993651592804;23.4527591452535;15.4075070640317;12.1536613525197;11.3691009497444;17.0914919263945;28.2325551391919;17.791462461977;12.7986363087796;13.1328923666946;11.2441866919087;15.9043960251643;17.9374899144648;10.9162588951864;14.5289711662071;15.4471511572168;11.4754577047269;16.8908866085114;19.7648172846655
02;14.458411827512;25.0263459243814;16.2111441577875;11.6916231998272;12.7255275749721;13.237063822239;22.2792162502882;14.8623460148729;11.534776465225;11.380569280836;15.1730005372826;26.3254082815382;17.1645126230855;12.042601188349;13.0028103695249;10.9455097711687;14.2803690934895;16.252073910562;10.5757366273214;13.2291735791634;14.3642345810756;11.1827711141184;14.8869139877351;17.3518957224986
03;14.1926618687227;24.6316082401452;15.8046461725826;11.4492752570373;12.4325684388337;13.1283603088314;21.7721068106418;14.7681305165082;11.3427505844958;11.8344251554519;14.946766699036;26.121049772579;16.6125857547525;11.7333885249998;12.5777955484308;10.8518492421021;13.9904713295145;15.9206341518386;10.6385236631782;13.1043284571307;14.1096890794284;10.9984398326507;14.6062329823269;17.2716097219234
04;14.5966138496028;23.4763412368396;15.9232283884909;11.6170359443187;12.3530010038273;13.4347437016845;21.4042517328405;14.6726615878155;11.4783793490372;10.7799936573327;15.4385761735941;24.6145615658205;16.9771677183846;11.9130260135719;12.6554795491549;10.8778507734814;14.3386400496991;16.5338842839069;10.6748556688839;13.3196190855895;14.6140327185695;11.0150856779843;15.056341335744;18.0462928884861
05;13.9943735339133;22.380461257448;15.3803614552718;11.7107038527432;12.3204848604059;13.1888670282396;20.7748866455348;14.5762034137337;11.6001202521719;10.5048666629442;14.6180012120275;23.3192022454019;16.2012526896391;11.946677400428;12.58744578503;10.7714525953852;13.7980437392718;15.704947574814;10.5230488615995;13.098894135844;14.3145723708616;10.9347543826748;14.3408230434391;16.846285653931
06;16.8592202662964;28.4022502248134;17.1718774353177;12.3566445623435;12.5944075060759;15.2614965878057;25.121331762364;16.0170219689018;12.2086729501094;11.0056955890904;18.1461757411509;30.3026096171381;18.3763040963742;12.623238045579;12.9222690612876;11.7405446321893;16.5907028990557;19.3144697825922;11.0925681265468;15.3020282056627;16.7067706848105;12.2766077897634;17.6105658016404;21.4744274691904
07;14.7310949335066;24.9234615969569;16.1436905266044;11.6885692751965;12.5327678502826;13.3572792456327;21.8039408419648;14.6846842157168;11.552713815664;11.5928784519071;15.6707567993439;26.3827523365366;17.262736779128;12.0268043315953;12.760662356305;10.9762396422995;14.5385894526545;16.5385968034767;10.637887474619;13.3316965984609;14.3952915059067;11.2007371270538;15.3549027648726;18.0552869697104
08;14.3995878927319;24.7297953392877;16.1834215595063;11.460405211865;12.8127205240975;13.0319748652299;21.6983576516308;14.7651501086011;11.3263215549307;11.5058333975744;15.2235382951274;26.1291784442272;17.1632781360893;11.8391222573531;13.0544831401073;10.9228200640183;14.2696229315405;15.9537597865949;10.521146599867;13.0947715179322;13.8701037137525;11.1819525063599;14.977043087316;17.1791389180388
09;13.9459429066529;23.141367679735;15.3383437323387;11.4171370102361;12.2001874841416;12.8357670115505;20.4244325840507;14.2513072669923;11.3588792284162;10.7771159213198;14.7141181210791;24.4399539163745;16.2498226351108;11.5624753691149;12.4513252289492;10.635381703677;13.7043580024589;15.6400566315427;10.3270199392481;12.7393876184755;13.8862921938572;10.8354378349169;14.3687713945625;16.8945247217136
10;14.5837998120881;24.9674407719011;16.4720119789207;11.5758075100778;12.2018085630878;13.2926921254465;21.946932816929;14.862404856126;11.4810975854961;10.8972306330056;15.499600022474;26.5927086358208;17.7626151948719;11.812584831499;12.5114528055261;11.3429491831034;14.5477703873922;15.9997530223716;10.6623925188545;13.3960086293554;14.1485370587612;11.8420336275466;15.3453548719394;17.3663047729379
