COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
SNHM22;Salaire net horaire moyen en 2022 (€);Salaire net horaire moyen en 2022 (€);;;NUM;16
SNHMC22;Salaire net hor. Moy. Cadres sup. en 2022 (€);Salaire net horaire moyen des cadres, professions intellectuelles supérieures et des chefs d'entreprises salariés en 2022 (€);;;NUM;16
SNHMP22;Salaire net hor. moy. prof inter. en 2022 (€);Salaire net horaire moyen des professions intermédiaires en 2022 (€);;;NUM;16
SNHME22;Salaire net hor. moy. employés en 2022 (€);Salaire net horaire moyen des employés en 2022 (€);;;NUM;16
SNHMO22;Salaire net hor. moy. ouvriers en 2022 (€);Salaire net horaire moyen des ouvriers en 2022 (€);;;NUM;16
SNHMF22;Salaire net horaire moyen F en 2022 (€);Salaire net horaire moyen des femmes en 2022 (€);;;NUM;16
SNHMFC22;Salaire net hor. moy. F cadres sup. en 2022 (€);Salaire net horaire moyen des femmes cadres, professions intellectuelles supérieures et des chefs d'entreprises salariés en 2022 (€);;;NUM;16
SNHMFP22;Salaire net hor. moy. F prof inter. en 2022 (€);Salaire net horaire moyen des femmes exerçant une profession intermédiaire en 2022 (€);;;NUM;16
SNHMFE22;Salaire net hor. moy. F employés en 2022 (€);Salaire net horaire moyen des femmes employées en 2022 (€);;;NUM;16
SNHMFO22;Salaire net hor. moy. F ouvriers en 2022 (€);Salaire net horaire moyen des femmes ouvrières en 2022 (€);;;NUM;16
SNHMH22;Salaire net horaire moyen H en 2022 (€);Salaire net horaire moyen des hommes en 2022 (€);;;NUM;16
SNHMHC22;Salaire net hor. moy. H cadres sup. en 2022 (€);Salaire net horaire moyen des hommes cadres, professions intellectuelles supérieures et des chefs d'entreprises salariés en 2022 (€);;;NUM;16
SNHMHP22;Salaire net hor. moy. H prof inter. en 2022 (€);Salaire net horaire moyen des hommes exerçant une profession intermédiaire en 2022 (€);;;NUM;16
SNHMHE22;Salaire net hor. moy. H employés en 2022 (€);Salaire net horaire moyen des hommes employés en 2022 (€);;;NUM;16
SNHMHO22;Salaire net hor. moy. H ouvriers en 2022 (€);Salaire net horaire moyen des hommes ouvriers en 2022 (€);;;NUM;16
SNHM1822;Salaire net horaire moyen 18 à 25 ans en 2022 (€);Salaire net horaire moyen des personnes de 18 à 25 ans en 2022 (€);;;NUM;16
SNHM2622;Salaire net horaire moyen 26 à 50 ans en 2022 (€);Salaire net horaire moyen des personnes de 26 à 50 ans en 2022 (€);;;NUM;16
SNHM5022;Salaire net horaire moyen plus de 50 ans en 2022 (€);Salaire net horaire moyen des personnes de plus de 50 ans en 2022 (€);;;NUM;16
SNHMF1822;Salaire net horaire moyen F 18 à 25 ans en 2022 (€);Salaire net horaire moyen des femmes de 18 à 25 ans en 2022 (€);;;NUM;16
SNHMF2622;Salaire net horaire moyen F 26 à 50 ans en 2022 (€);Salaire net horaire moyen des femmes de 26 à 50 ans en 2022 (€);;;NUM;16
SNHMF5022;Salaire net horaire moyen F plus de 50 ans en 2022 (€);Salaire net horaire moyen des femmes plus de 50 ans en 2022 (€);;;NUM;16
SNHMH1822;Salaire net horaire moyen H 18 à 25 ans en 2022 (€);Salaire net horaire moyen des hommes  de 18 à 25 ans en 2022 (€);;;NUM;16
SNHMH2622;Salaire net horaire moyen H 26 à 50 ans en 2022 (€);Salaire net horaire moyen des hommes de 26 à 50 ans en 2022 (€);;;NUM;16
SNHMH5022;Salaire net horaire moyen H plus de 50 ans en 2022 (€);Salaire net horaire moyen des hommes de plus de 50 ans en 2022 (€);;;NUM;16
CODGEO;Code géographique;Code de la zone géographique;011;Belley;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;012;Bourg-en-Bresse;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;013;Gex;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;014;Nantua;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;021;Château-Thierry;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;022;Laon;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;023;Saint-Quentin;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;024;Soissons;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;025;Vervins;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;031;Montluçon;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;032;Moulins;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;033;Vichy;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;041;Barcelonnette;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;042;Castellane;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;043;Digne-les-Bains;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;044;Forcalquier;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;051;Briançon;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;052;Gap;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;061;Grasse;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;062;Nice;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;071;Largentière;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;072;Privas;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;073;Tournon-sur-Rhône;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;081;Charleville-Mézières;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;082;Rethel;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;083;Sedan;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;084;Vouziers;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;091;Foix;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;092;Pamiers;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;093;Saint-Girons;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;101;Bar-sur-Aube;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;102;Nogent-sur-Seine;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;103;Troyes;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;111;Carcassonne;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;112;Limoux;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;113;Narbonne;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;121;Millau;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;122;Rodez;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;123;Villefranche-de-Rouergue;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;131;Aix-en-Provence;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;132;Arles;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;133;Marseille;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;134;Istres;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;141;Bayeux;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;142;Caen;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;143;Lisieux;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;144;Vire;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;151;Aurillac;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;152;Mauriac;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;153;Saint-Flour;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;161;Angoulême;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;162;Cognac;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;163;Confolens;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;171;Jonzac;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;172;Rochefort;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;173;La Rochelle;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;174;Saintes;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;175;Saint-Jean-d'Angély;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;181;Bourges;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;182;Saint-Amand-Montrond;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;183;Vierzon;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;191;Brive-la-Gaillarde;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;192;Tulle;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;193;Ussel;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;211;Beaune;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;212;Dijon;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;213;Montbard;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;221;Dinan;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;222;Guingamp;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;223;Lannion;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;224;Saint-Brieuc;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;231;Aubusson;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;232;Guéret;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;241;Bergerac;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;242;Nontron;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;243;Périgueux;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;244;Sarlat-la-Canéda;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;251;Besançon;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;252;Montbéliard;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;253;Pontarlier;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;261;Die;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;262;Nyons;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;263;Valence;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;271;Les Andelys;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;272;Bernay;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;273;Évreux;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;281;Chartres;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;282;Châteaudun;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;283;Dreux;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;284;Nogent-le-Rotrou;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;291;Brest;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;292;Châteaulin;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;293;Morlaix;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;294;Quimper;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2A1;Ajaccio;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2A4;Sartène;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2B2;Bastia;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2B3;Corte;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2B5;Calvi;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;301;Alès;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;302;Nîmes;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;303;Le Vigan;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;311;Muret;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;312;Saint-Gaudens;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;313;Toulouse;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;321;Auch;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;322;Condom;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;323;Mirande;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;331;Blaye;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;332;Bordeaux;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;333;Langon;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;334;Lesparre-Médoc;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;335;Libourne;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;336;Arcachon;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;341;Béziers;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;342;Lodève;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;343;Montpellier;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;351;Fougères-Vitré;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;352;Redon;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;353;Rennes;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;354;Saint-Malo;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;361;Le Blanc;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;362;Châteauroux;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;363;La Châtre;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;364;Issoudun;CHAR;4
