COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
SNHM22;Salaire net horaire moyen en 2022 (€);Salaire net horaire moyen en 2022 (€);;;NUM;16
SNHMC22;Salaire net hor. Moy. Cadres sup. en 2022 (€);Salaire net horaire moyen des cadres, professions intellectuelles supérieures et des chefs d'entreprises salariés en 2022 (€);;;NUM;16
SNHMP22;Salaire net hor. moy. prof inter. en 2022 (€);Salaire net horaire moyen des professions intermédiaires en 2022 (€);;;NUM;16
SNHME22;Salaire net hor. moy. employés en 2022 (€);Salaire net horaire moyen des employés en 2022 (€);;;NUM;16
SNHMO22;Salaire net hor. moy. ouvriers en 2022 (€);Salaire net horaire moyen des ouvriers en 2022 (€);;;NUM;16
SNHMF22;Salaire net horaire moyen F en 2022 (€);Salaire net horaire moyen des femmes en 2022 (€);;;NUM;16
SNHMFC22;Salaire net hor. moy. F cadres sup. en 2022 (€);Salaire net horaire moyen des femmes cadres, professions intellectuelles supérieures et des chefs d'entreprises salariés en 2022 (€);;;NUM;16
SNHMFP22;Salaire net hor. moy. F prof inter. en 2022 (€);Salaire net horaire moyen des femmes exerçant une profession intermédiaire en 2022 (€);;;NUM;16
SNHMFE22;Salaire net hor. moy. F employés en 2022 (€);Salaire net horaire moyen des femmes employées en 2022 (€);;;NUM;16
SNHMFO22;Salaire net hor. moy. F ouvriers en 2022 (€);Salaire net horaire moyen des femmes ouvrières en 2022 (€);;;NUM;16
SNHMH22;Salaire net horaire moyen H en 2022 (€);Salaire net horaire moyen des hommes en 2022 (€);;;NUM;16
SNHMHC22;Salaire net hor. moy. H cadres sup. en 2022 (€);Salaire net horaire moyen des hommes cadres, professions intellectuelles supérieures et des chefs d'entreprises salariés en 2022 (€);;;NUM;16
SNHMHP22;Salaire net hor. moy. H prof inter. en 2022 (€);Salaire net horaire moyen des hommes exerçant une profession intermédiaire en 2022 (€);;;NUM;16
SNHMHE22;Salaire net hor. moy. H employés en 2022 (€);Salaire net horaire moyen des hommes employés en 2022 (€);;;NUM;16
SNHMHO22;Salaire net hor. moy. H ouvriers en 2022 (€);Salaire net horaire moyen des hommes ouvriers en 2022 (€);;;NUM;16
SNHM1822;Salaire net horaire moyen 18 à 25 ans en 2022 (€);Salaire net horaire moyen des personnes de 18 à 25 ans en 2022 (€);;;NUM;16
SNHM2622;Salaire net horaire moyen 26 à 50 ans en 2022 (€);Salaire net horaire moyen des personnes de 26 à 50 ans en 2022 (€);;;NUM;16
SNHM5022;Salaire net horaire moyen plus de 50 ans en 2022 (€);Salaire net horaire moyen des personnes de plus de 50 ans en 2022 (€);;;NUM;16
SNHMF1822;Salaire net horaire moyen F 18 à 25 ans en 2022 (€);Salaire net horaire moyen des femmes de 18 à 25 ans en 2022 (€);;;NUM;16
SNHMF2622;Salaire net horaire moyen F 26 à 50 ans en 2022 (€);Salaire net horaire moyen des femmes de 26 à 50 ans en 2022 (€);;;NUM;16
SNHMF5022;Salaire net horaire moyen F plus de 50 ans en 2022 (€);Salaire net horaire moyen des femmes plus de 50 ans en 2022 (€);;;NUM;16
SNHMH1822;Salaire net horaire moyen H 18 à 25 ans en 2022 (€);Salaire net horaire moyen des hommes  de 18 à 25 ans en 2022 (€);;;NUM;16
SNHMH2622;Salaire net horaire moyen H 26 à 50 ans en 2022 (€);Salaire net horaire moyen des hommes de 26 à 50 ans en 2022 (€);;;NUM;16
SNHMH5022;Salaire net horaire moyen H plus de 50 ans en 2022 (€);Salaire net horaire moyen des hommes de plus de 50 ans en 2022 (€);;;NUM;16
CODGEO;Code géographique;Code de la zone géographique;01004;Ambérieu-en-Bugey;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;01033;Valserhône;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;01034;Belley;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;01053;Bourg-en-Bresse;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;01072;Ceyzériat;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;01093;Châtillon-sur-Chalaronne;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;01138;Culoz-Béon;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;01143;Divonne-les-Bains;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;01160;Ferney-Voltaire;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;01173;Gex;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;01185;Plateau d'Hauteville;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;01202;Lagnieu;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;01244;Meximieux;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;01262;Montluel;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;01265;Montréal-la-Cluse;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;01266;Montrevel-en-Bresse;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;01283;Oyonnax;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;01304;Pont-d'Ain;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;01305;Pont-de-Vaux;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;01333;Saint-André-de-Corcy;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;01354;Saint-Genis-Pouilly;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;01443;Villars-les-Dombes;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;01457;Vonnas;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;02095;Bohain-en-Vermandois;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;02163;Charly-sur-Marne;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;02168;Château-Thierry;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;02173;Chauny;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;02305;Fère-en-Tardenois;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;02360;Villeneuve-sur-Aisne;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;02361;Guise;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;02381;Hirson;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;02408;Laon;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;02468;Marle;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;02502;Montcornet;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;02558;Le Nouvion-en-Thiérache;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;02691;Saint-Quentin;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;02722;Soissons;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;02738;Tergnier;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;02789;Vervins;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;02810;Villers-Cotterêts;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;03036;Bourbon-l'Archambault;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;03082;Commentry;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;03102;Dompierre-sur-Besbre;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;03118;Gannat;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;03138;Lapalisse;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;03185;Montluçon;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;03186;Montmarault;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;03190;Moulins;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;03254;Saint-Pourçain-sur-Sioule;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;03298;Varennes-sur-Allier;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;03310;Vichy;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;04019;Barcelonnette;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;04049;Château-Arnoux-Saint-Auban;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;04070;Digne-les-Bains;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;04088;Forcalquier;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;04094;Gréoux-les-Bains;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;04112;Manosque;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;04143;Oraison;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;04166;Riez;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;04173;Saint-André-les-Alpes;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;04209;Sisteron;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;05006;L'Argentière-la-Bessée;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;05023;Briançon;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;05040;Chorges;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;05046;Embrun;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;05061;Gap;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;05065;Guillestre;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;05070;Laragne-Montéglin;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;05132;Saint-Bonnet-en-Champsaur;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;05170;Tallard;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;05179;Veynes;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;06029;Cannes;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;06033;Carros;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;06048;Contes;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;06083;Menton;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;06088;Nice;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;06099;Puget-Théniers;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;07010;Annonay;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;07019;Aubenas;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;07042;Bourg-Saint-Andéol;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;07064;Le Cheylard;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;07110;Joyeuse;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;07129;Lamastre;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;07132;Largentière;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;07186;Privas;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;07201;Ruoms;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;07324;Tournon-sur-Rhône;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;07330;Vallon-Pont-d'Arc;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;07334;Les Vans;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;07338;Vernoux-en-Vivarais;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;07341;Villeneuve-de-Berg;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;07349;La Voulte-sur-Rhône;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;08090;Carignan;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;08105;Charleville-Mézières;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;08185;Fumay;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;08190;Givet;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;08302;Monthermé;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;08328;Nouzonville;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;08362;Rethel;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;08363;Revin;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;08409;Sedan;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;08490;Vouziers;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;09122;Foix;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;09160;Lavelanet;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;09167;Lézat-sur-Lèze;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;09185;Mazères;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;09194;Mirepoix;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;09225;Pamiers;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;09261;Saint-Girons;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;09282;Saverdun;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;09306;Tarascon-sur-Ariège;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;10003;Aix-Villemaur-Pâlis;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;10006;Arcis-sur-Aube;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;10033;Bar-sur-Aube;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;10034;Bar-sur-Seine;CHAR;5
CODGEO;Code géographique;Code de la zone géographique;10064;Brienne-le-Château;CHAR;5
