COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
SNHM22;Salaire net horaire moyen en 2022 (€);Salaire net horaire moyen en 2022 (€);;;NUM;16
SNHMC22;Salaire net hor. Moy. Cadres sup. en 2022 (€);Salaire net horaire moyen des cadres, professions intellectuelles supérieures et des chefs d'entreprises salariés en 2022 (€);;;NUM;16
SNHMP22;Salaire net hor. moy. prof inter. en 2022 (€);Salaire net horaire moyen des professions intermédiaires en 2022 (€);;;NUM;16
SNHME22;Salaire net hor. moy. employés en 2022 (€);Salaire net horaire moyen des employés en 2022 (€);;;NUM;16
SNHMO22;Salaire net hor. moy. ouvriers en 2022 (€);Salaire net horaire moyen des ouvriers en 2022 (€);;;NUM;16
SNHMF22;Salaire net horaire moyen F en 2022 (€);Salaire net horaire moyen des femmes en 2022 (€);;;NUM;16
SNHMFC22;Salaire net hor. moy. F cadres sup. en 2022 (€);Salaire net horaire moyen des femmes cadres, professions intellectuelles supérieures et des chefs d'entreprises salariés en 2022 (€);;;NUM;16
SNHMFP22;Salaire net hor. moy. F prof inter. en 2022 (€);Salaire net horaire moyen des femmes exerçant une profession intermédiaire en 2022 (€);;;NUM;16
SNHMFE22;Salaire net hor. moy. F employés en 2022 (€);Salaire net horaire moyen des femmes employées en 2022 (€);;;NUM;16
SNHMFO22;Salaire net hor. moy. F ouvriers en 2022 (€);Salaire net horaire moyen des femmes ouvrières en 2022 (€);;;NUM;16
SNHMH22;Salaire net horaire moyen H en 2022 (€);Salaire net horaire moyen des hommes en 2022 (€);;;NUM;16
SNHMHC22;Salaire net hor. moy. H cadres sup. en 2022 (€);Salaire net horaire moyen des hommes cadres, professions intellectuelles supérieures et des chefs d'entreprises salariés en 2022 (€);;;NUM;16
SNHMHP22;Salaire net hor. moy. H prof inter. en 2022 (€);Salaire net horaire moyen des hommes exerçant une profession intermédiaire en 2022 (€);;;NUM;16
SNHMHE22;Salaire net hor. moy. H employés en 2022 (€);Salaire net horaire moyen des hommes employés en 2022 (€);;;NUM;16
SNHMHO22;Salaire net hor. moy. H ouvriers en 2022 (€);Salaire net horaire moyen des hommes ouvriers en 2022 (€);;;NUM;16
SNHM1822;Salaire net horaire moyen 18 à 25 ans en 2022 (€);Salaire net horaire moyen des personnes de 18 à 25 ans en 2022 (€);;;NUM;16
SNHM2622;Salaire net horaire moyen 26 à 50 ans en 2022 (€);Salaire net horaire moyen des personnes de 26 à 50 ans en 2022 (€);;;NUM;16
SNHM5022;Salaire net horaire moyen plus de 50 ans en 2022 (€);Salaire net horaire moyen des personnes de plus de 50 ans en 2022 (€);;;NUM;16
SNHMF1822;Salaire net horaire moyen F 18 à 25 ans en 2022 (€);Salaire net horaire moyen des femmes de 18 à 25 ans en 2022 (€);;;NUM;16
SNHMF2622;Salaire net horaire moyen F 26 à 50 ans en 2022 (€);Salaire net horaire moyen des femmes de 26 à 50 ans en 2022 (€);;;NUM;16
SNHMF5022;Salaire net horaire moyen F plus de 50 ans en 2022 (€);Salaire net horaire moyen des femmes plus de 50 ans en 2022 (€);;;NUM;16
SNHMH1822;Salaire net horaire moyen H 18 à 25 ans en 2022 (€);Salaire net horaire moyen des hommes  de 18 à 25 ans en 2022 (€);;;NUM;16
SNHMH2622;Salaire net horaire moyen H 26 à 50 ans en 2022 (€);Salaire net horaire moyen des hommes de 26 à 50 ans en 2022 (€);;;NUM;16
SNHMH5022;Salaire net horaire moyen H plus de 50 ans en 2022 (€);Salaire net horaire moyen des hommes de plus de 50 ans en 2022 (€);;;NUM;16
CODGEO;Code géographique;Code de la zone géographique;200000172;Communauté de communes Faucigny-Glières;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200000438;Communauté de communes du Pays de Pontchâteau Saint-Gildas-des-Bois;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200000545;Communauté de communes des Portes de Romilly-sur-Seine;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200000628;Communauté de communes Rhône Lez Provence;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200000800;Communauté de communes Cœur de Sologne;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200000925;Communauté de communes de la Plaine Dijonnaise;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200000933;Communauté de communes Sauldre et Sologne;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200004802;Communauté de communes du Pays de Fayence;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200005932;Communauté de communes des Portes de Sologne;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200005957;Communauté de communes de la Région de Rambervillers;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200006682;Communauté d'agglomération Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200006716;Communauté de communes du Nogentais;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200006930;Communauté de communes du Haut Allier;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200006971;Communauté de communes du Perche;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200007052;Communauté de communes de la Marche Berrichonne;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200007177;Communauté de communes Pays de Nérondes;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200010650;Communauté d'agglomération du Grand Dole;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200010700;Communauté d'agglomération Caux Seine Agglo;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200011773;Communauté d'agglomération Annemasse-Les Voirons-Agglomération;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200011781;Communauté de communes Portes du Berry entre Loire et Val d'Aubois;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200013050;Communauté de communes Sauer-Pechelbronn;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200015162;Communauté de communes de l'Oriente;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200016905;Communauté de communes du Pays de Lamastre;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200017341;Communauté de communes Lodévois et Larzac;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200017846;Communauté d'agglomération Étampois Sud Essonne;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200018083;Communauté de communes de Desvres-Samer;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200018166;Communauté de communes Le Grésivaudan;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200018406;Communauté de communes du Romorantinais et du Monestois;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200018521;Communauté de communes du Val de Bouzanne;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200018653;Communauté d'agglomération Cap Excellence;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200022986;Communauté de communes du Grand Pic Saint-Loup;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200023075;Communauté de communes du Pays de Maîche;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200023125;Communauté de communes Les Portes Briardes entre Villes et Forêts;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200023240;Communauté de communes Pays de Nemours;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200023299;Communauté de communes Cœur de Tarentaise;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200023307;Communauté d'agglomération du Grand Villeneuvois;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200023372;Communauté de communes de la Vallée de Chamonix-Mont-Blanc;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200023414;Métropole Rouen Normandie;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200023620;Communauté de communes de la Gascogne Toulousaine;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200023737;Communauté d'agglomération du Grand Cahors;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200023778;Communauté d'agglomération du Pays de Saint-Gilles-Croix-de-Vie;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200023794;Communauté de communes de Blaye;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200023919;Communauté de communes Gâtinais Val de Loing;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200026573;Communauté de communes Haut-Jura Saint-Claude;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200027027;Communauté de communes Arc Sud Bretagne;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200027076;Communauté de communes Arnon Boischaut Cher;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200027100;Communauté de communes Méditerranée Porte des Maures;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200027183;Communauté urbaine Perpignan Méditerranée Métropole;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200027217;Communauté de communes Sarlat-Périgord Noir;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200027308;Communauté de communes d'Auberive Vingeanne et Montsaugeonnais;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200027548;Communauté de communes des Savanes;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200029734;Communauté de communes des 4B Sud Charente;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200029999;Communauté de communes Rives de l'Ain - Pays du Cerdon;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200030195;Métropole Nice Côte d'Azur;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200030385;Communauté d'agglomération de Blois "Agglopolys";CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200030435;Communauté de communes d'Aire-sur-l'Adour;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200030526;Communauté de communes du Ried de Marckolsheim;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200030633;Communauté d'agglomération du Caudrésis et du Catésis;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200030658;Communauté de communes du Trièves;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200030674;Communauté d'agglomération Val de Garonne Agglomération;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200032514;Communauté de communes Berry-Loire-Vauvise;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200033025;Communauté d'agglomération de Bar-le-Duc - Sud Meuse;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200033090;Communauté de communes Plaines et Monts de France;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200033116;Communauté de communes Cluses-Arve et Montagnes;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200033173;Communauté de communes de la Haute Vallée de Chevreuse;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200033181;Communauté d'agglomération Chartres Métropole;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200033298;Communauté de communes des Coëvrons;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200033579;Communauté urbaine d'Arras;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200033827;Communauté de communes de Fium'Orbu Castellu;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200033868;Communauté de communes des Ballons des Hautes-Vosges;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200034023;Communauté de communes Tarn-Agout;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200034031;Communauté de communes des Monts d'Alban et du Villefranchois;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200034049;Communauté de communes Centre Tarn;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200034056;Communauté de communes du Lautrécois et du Pays d'Agout;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200034064;Communauté de communes du Cordais et du Causse (4 C);CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200034098;Communauté de communes des Montagnes du Giffre;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200034130;Communauté de communes Gally Mauldre;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200034197;Communauté de communes de Montaigne Montravel et Gurson;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200034205;Communauté de communes de la Costa Verde;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200034270;Communauté de communes du Pays de Barr;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200034379;Communauté de communes Pays d'Uzès;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200034411;Communauté de communes du Piémont Cévenol;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200034601;Communauté de communes Causses Aigoual Cévennes;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200034635;Communauté de communes du Kochersberg;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200034692;Communauté d'agglomération du Gard Rhodanien;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200034700;Communauté d'agglomération Durance-Lubéron-Verdon Agglomération;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200034718;Communauté de communes de Vitry, Champagne et Der;CHAR;9
CODGEO;Code géographique;Code de la zone géographique;200034726;Communauté de communes Bastides de Lomagne;CHAR;9
