Numero d'action ,Organisme,Arrondissement,Lieux,Code INSEE  communes,Formation 2024,Formation 1T 2025
2023_A1016_CFPP_AABB_0001,CFPPA BAIE DE SOMME,ABBEVILLE,ABBEVILLE,80001,X,X
2023_A0026_ACTI_ACAM_0001,ACTION,CAMBRAI,CAUDRY,59139,X,
2023_A0026_ACTI_ACAM_0001,ACTION,CAMBRAI,AVESNE LES AUBERT,59037,X,
2023_A0026_ACTI_ACAM_0001,ACTION,CAMBRAI,MASNIERES,59389,X,
2023_A0026_ACTI_ACAM_0001,ACTION,CAMBRAI,SOLESMES,59571,X,
2023_A0163_INST_AABB_0001,INSTEP,ABBEVILLE,ABBEVILLE,80001,X,X
2023_A1462_ADEQ_AAMI_0001,ADEQUATION,AMIENS,AMIENS,80021,X,X
2023_A1079_AIDE_AAMI_0001,AIDEQ,AMIENS,AMIENS,80021,X,X
2023_B0011_COAC_AAMI_0002,COACH CARRIERE,AMIENS,AMIENS,80021,X,X
2023_A1014_GIP _AAMI_0002,GIP FORINVAL,AMIENS,AMIENS,80021,X,X
2023_A1064_ADF_ALAC_0001,ADF,LAON CHAUNOIS,TERGNIER,02738,X,
2023_A1064_ADF_ALAC_0001,ADF,LAON CHAUNOIS,LA FERE,02304,X,
2023_A1064_ADF_ASOI_0001,ADF,SOISSONS,VILLERS COTTERETS,02810,X,
2023_A1064_ADF_AVER_0001,ADF,VERVINS,HIRSON,02381,X,
2023_A0079_CAPE_AVAL_0001,CAPEP,VALENCIENNES,ANZIN,59014,X,X
2023_A0163_INST_AVAL_0001,INSTEP,VALENCIENNES,ANZIN,59014,X,X
2023_A0093_GIP _ALIL_0001,GIP FCIP LILLE,LILLE,ARMENTIERES,59017,X,X
2023_A1461_AFIP_ABEA_0002,AFIPP,BEAUVAIS,CHAUMONT EN VEXIN,60143,X,
2023_A0048_AFP2_AARR_0001,AFP2I,ARRAS,ARRAS,62041,X,X
2023_A0048_AFP2_ALIL_0001,AFP2I,LILLE,SECLIN,59560,X,
2023_A0048_AFP2_ALIL_0001,AFP2I,LILLE,FACHES THUMESNIL,59220,X,
2023_A0093_GIP _AARR_0001,GIP FCIP LILLE,ARRAS,ARRAS,62041,X,X
2023_A0048_AFP2_AARR_0001,AFP2I,ARRAS,VITRY EN ARTOIS,62865,X,
2023_A0048_AFP2_AARR_0001,AFP2I,ARRAS,FREVENT,62361,X,
2023_A1459_IRFA_AARR_0001,IRFA,ARRAS,ARRAS,62041,X,X
2023_A0048_AFP2_AARR_0001,AFP2I,ARRAS,BAPAUME,62080,X,
2023_A1461_AFIP_ABEA_0002,AFIPP,BEAUVAIS,BEAUVAIS,60057,X,X
2023_A0048_AFP2_AARR_0001,AFP2I,ARRAS,AVESNE LE COMTE,62063,X,
2023_A1314_ECOL_ABEA_0001,APFE 5 CANTONS,BEAUVAIS,BEAUVAIS,60057,X,X
2023_A0048_AFP2_ABET_0001,AFP2I,BETHUNE,ISBERGUES,62473,X,
2023_A1014_GIP _ABEA_0001,GIP FORINVAL,BEAUVAIS,BEAUVAIS,60057,X,X
2023_A0093_GIP _ABET_0001,GIP FCIP LILLE,BETHUNE,BETHUNE,62119,X,X
2023_A1079_AIDE_ASOI_0001,AIDEQ,SOISSONS,BILLY SUR AISNE,02089,X,
2023_A1079_AIDE_AVER_0001,AIDEQ,VERVINS,LE NOUVION EN THIERACHE,02558,X,
2023_A1459_IRFA_ABET_0001,IRFA,BETHUNE,BETHUNE,62119,X,X
2023_A1176_DEVE_ASTQ_0001,DEVENIR EN VERMANDOIS,SAINT QUENTINOIS,BOHAIN-EN-VERMANDOIS,02095,X,X
2023_A1459_IRFA_ASTQ_0001,IRFA,SAINT QUENTINOIS,BOHAIN-EN-VERMANDOIS,02095,X,X
2023_A0093_GIP _ABOU_0001,GIP FCIP LILLE,BOULOGNE SUR MER,BOULOGNE SUR MER,62160,X,X
2023_A1459_IRFA_ABOU_0001,IRFA,BOULOGNE SUR MER,BOULOGNE SUR MER,62160,X,X
2023_A1314_ECOL_ABEA_0001,APFE 5 CANTONS,BEAUVAIS,GRANDVILLIERS,60286,X,
2023_A1314_ECOL_ABEA_0001,APFE 5 CANTONS,BEAUVAIS,MERU,60395,X,
2023_A1314_ECOL_ASEN_0001,APFE 5 CANTONS,SENLIS,SENLIS,60612,X,
2023_A0048_AFP2_ABET_0001,AFP2I,BETHUNE,BRUAY LA BUISSIERE,62178,X,X
2023_A0093_GIP _ABET_0001,GIP FCIP LILLE,BETHUNE,BRUAY LA BUISSIERE,62178,X,X
2023_A1314_ECOL_ASEN_0001,APFE 5 CANTONS,SENLIS,PONT SAINTE MAXENCE,60509,X,
2023_A0167_SJT_ABET_0002,SJT,BETHUNE,BRUAY LA BUISSIERE,62178,X,X
2023_A0456_AREP_ASOI_0001,AREP,SOISSONS,SOISSONS,02722,X,
2023_A0093_GIP _ACAL_0001,GIP FCIP LILLE,CALAIS,CALAIS,62193,X,X
2023_A0456_AREP_ADOU_0001,AREP,DOUAI,SOMAIN,59574,X,
2023_A0456_AREP_ADKF_0001,AREP,DUNKERQUE FLANDRE,BAILLEUL,59043,X,
2023_A0163_INST_ACAL_0001,INSTEP,CALAIS,CALAIS,62193,X,X
2023_A0167_SJT_ACAL_0001,SJT,CALAIS,CALAIS,62193,X,X
2023_A0026_ACTI_ACAM_0001,ACTION,CAMBRAI,CAMBRAI,59122,X,X
2023_A0163_INST_ACAM_0001,INSTEP,CAMBRAI,CAMBRAI,59122,X,X
2023_A0456_AREP_AVAL_0001,AREP,VALENCIENNES,SAINT AMAND LES EAUX,59526,X,
2023_A0456_AREP_ACLE_0001,AREP,CLERMONT,SAINT JUST EN CHAUSSEE,60581,X,
2023_A0456_AREP_ASEN_0001,AREP,SENLIS,CREPY EN VALOIS,60176,X,
,AREP,SENLIS,NOGENT SUR OISE,60463,X,
2023_A0093_GIP _ALEN_0001,GIP FCIP LILLE,LENS,CARVIN,62215,X,X
