# Description : Le périmètre des Services publics pour l'emploi local (SPEL) correspond à la nouvelle organisation mise en place depuis le 1ᵉʳ juillet 2016 en région Hauts-de-France, associant État et Région. Un SPEL regroupe l’ensemble des acteurs locaux de l’emploi, de la formation et de l’orientation professionnelle afin de coordonner les politiques dans ces domaines. Ses principaux rôles sont d’identifier les besoins et problématiques spécifiques du territoire en matière d’emploi et de formation et d’apporter des réponses adaptées aux entreprises.
# Plus d'informations : https://www.c2rp.fr/dossier/le-service-public-pour-lemploi-local
#
# Thématique(s) : EMPLOI
# Mots-Clés : SPEL, SERVICE PUBLIC POUR L'EMPLOI, EMPLOI, POLITIQUE, ECONOMIE, FORMATION, ETAT, REGION, REGION32
# Mots-Clés de lieu : OISE, NORD, SOMME, AISNE, PAS-DE-CALAIS, HAUTS-DE-FRANCE
# Conditions d'utilisation : Utilisation libre sous réserve de mentionner la source (a minima le nom du producteur) et la date de sa dernière mise à jour
# Données ouvertes : oui
# Source : Service Public pour l'Emploi Local – périmètre Mars 2021 (fond BD TOPO 2017)
# Date de création : 2021-04-28
# Date de mise à jour des données : 2024-10-14
# Date de mise à jour de la fiche : 2025-05-07
# Fréquence de mise à jour : Lorsque nécessaire
# Langue : Français

gml_id,id,nom,sous_pref,elu_reg,metadata
spel.2,"2",CAMBRAI,YEDDOU Raymond,SIMEON Serge / DROBINOHA Nathalie,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/87e7390d-2d3c-448c-aee9-0628007f611d
spel.3,"3",LAON,LARREY Pierre (SG),COULON Christophe,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/87e7390d-2d3c-448c-aee9-0628007f611d
spel.4,"4",SAINT-QUENTIN,MINOT Corinne,RYO Monique,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/87e7390d-2d3c-448c-aee9-0628007f611d
spel.5,"5",BEAUVAIS,LEPIDI Dominique (SG),MANCEL Alexis,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/87e7390d-2d3c-448c-aee9-0628007f611d
spel.6,"6",SOISSONS,DUBREUIL Joël,ENGRAND Olivier,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/87e7390d-2d3c-448c-aee9-0628007f611d
spel.7,"7",BOULOGNE-SUR-MER,CONSILLE Dominique,JUILIEN-PEUVION Paulette,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/87e7390d-2d3c-448c-aee9-0628007f611d
spel.8,"8",MONTREUIL,SAMPSON Frédéric,RAPIN Jean-François,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/87e7390d-2d3c-448c-aee9-0628007f611d
spel.9,"9",BETHUNE,AMBROISE Chantal,GACQUERRE Amel,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/87e7390d-2d3c-448c-aee9-0628007f611d
spel.10,"10",DUNKERQUE,TOURMENTE Hervé,DHERSIN Franck,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/87e7390d-2d3c-448c-aee9-0628007f611d
spel.11,"11",LENS,RAFFY Jean-François,TASZAREK Anne-Sophie,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/87e7390d-2d3c-448c-aee9-0628007f611d
