COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
SNHM22;Salaire net horaire moyen en 2022 (€);Salaire net horaire moyen en 2022 (€);;;NUM;16
SNHMC22;Salaire net hor. Moy. Cadres sup. en 2022 (€);Salaire net horaire moyen des cadres, professions intellectuelles supérieures et des chefs d'entreprises salariés en 2022 (€);;;NUM;16
SNHMP22;Salaire net hor. moy. prof inter. en 2022 (€);Salaire net horaire moyen des professions intermédiaires en 2022 (€);;;NUM;16
SNHME22;Salaire net hor. moy. employés en 2022 (€);Salaire net horaire moyen des employés en 2022 (€);;;NUM;16
SNHMO22;Salaire net hor. moy. ouvriers en 2022 (€);Salaire net horaire moyen des ouvriers en 2022 (€);;;NUM;16
SNHMF22;Salaire net horaire moyen F en 2022 (€);Salaire net horaire moyen des femmes en 2022 (€);;;NUM;16
SNHMFC22;Salaire net hor. moy. F cadres sup. en 2022 (€);Salaire net horaire moyen des femmes cadres, professions intellectuelles supérieures et des chefs d'entreprises salariés en 2022 (€);;;NUM;16
SNHMFP22;Salaire net hor. moy. F prof inter. en 2022 (€);Salaire net horaire moyen des femmes exerçant une profession intermédiaire en 2022 (€);;;NUM;16
SNHMFE22;Salaire net hor. moy. F employés en 2022 (€);Salaire net horaire moyen des femmes employées en 2022 (€);;;NUM;16
SNHMFO22;Salaire net hor. moy. F ouvriers en 2022 (€);Salaire net horaire moyen des femmes ouvrières en 2022 (€);;;NUM;16
SNHMH22;Salaire net horaire moyen H en 2022 (€);Salaire net horaire moyen des hommes en 2022 (€);;;NUM;16
SNHMHC22;Salaire net hor. moy. H cadres sup. en 2022 (€);Salaire net horaire moyen des hommes cadres, professions intellectuelles supérieures et des chefs d'entreprises salariés en 2022 (€);;;NUM;16
SNHMHP22;Salaire net hor. moy. H prof inter. en 2022 (€);Salaire net horaire moyen des hommes exerçant une profession intermédiaire en 2022 (€);;;NUM;16
SNHMHE22;Salaire net hor. moy. H employés en 2022 (€);Salaire net horaire moyen des hommes employés en 2022 (€);;;NUM;16
SNHMHO22;Salaire net hor. moy. H ouvriers en 2022 (€);Salaire net horaire moyen des hommes ouvriers en 2022 (€);;;NUM;16
SNHM1822;Salaire net horaire moyen 18 à 25 ans en 2022 (€);Salaire net horaire moyen des personnes de 18 à 25 ans en 2022 (€);;;NUM;16
SNHM2622;Salaire net horaire moyen 26 à 50 ans en 2022 (€);Salaire net horaire moyen des personnes de 26 à 50 ans en 2022 (€);;;NUM;16
SNHM5022;Salaire net horaire moyen plus de 50 ans en 2022 (€);Salaire net horaire moyen des personnes de plus de 50 ans en 2022 (€);;;NUM;16
SNHMF1822;Salaire net horaire moyen F 18 à 25 ans en 2022 (€);Salaire net horaire moyen des femmes de 18 à 25 ans en 2022 (€);;;NUM;16
SNHMF2622;Salaire net horaire moyen F 26 à 50 ans en 2022 (€);Salaire net horaire moyen des femmes de 26 à 50 ans en 2022 (€);;;NUM;16
SNHMF5022;Salaire net horaire moyen F plus de 50 ans en 2022 (€);Salaire net horaire moyen des femmes plus de 50 ans en 2022 (€);;;NUM;16
SNHMH1822;Salaire net horaire moyen H 18 à 25 ans en 2022 (€);Salaire net horaire moyen des hommes  de 18 à 25 ans en 2022 (€);;;NUM;16
SNHMH2622;Salaire net horaire moyen H 26 à 50 ans en 2022 (€);Salaire net horaire moyen des hommes de 26 à 50 ans en 2022 (€);;;NUM;16
SNHMH5022;Salaire net horaire moyen H plus de 50 ans en 2022 (€);Salaire net horaire moyen des hommes de plus de 50 ans en 2022 (€);;;NUM;16
CODGEO;Code géographique;Code de la zone géographique;001;Paris;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;002;Lyon;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;003;Marseille - Aix-en-Provence;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;004;Lille (partie française);CHAR;3
CODGEO;Code géographique;Code de la zone géographique;005;Toulouse;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;006;Bordeaux;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;008;Nantes;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;010;Strasbourg (partie française);CHAR;3
CODGEO;Code géographique;Code de la zone géographique;012;Montpellier;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;013;Rennes;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;014;Grenoble;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;015;Rouen;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;017;Nice;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;018;Toulon;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;019;Tours;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;020;Nancy;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;022;Clermont-Ferrand;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;023;Saint-Étienne;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;024;Caen;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;025;Orléans;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;026;Angers;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;028;Dijon;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;029;Mulhouse;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;030;Perpignan;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;031;Cannes - Antibes;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;032;Brest;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;033;Metz;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;034;Le Mans;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;035;Amiens;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;036;Reims;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;037;Nîmes;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;038;Valenciennes (partie française);CHAR;3
CODGEO;Code géographique;Code de la zone géographique;039;Le Havre;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;040;Avignon;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;041;Limoges;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;042;Lens - Liévin;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;043;Annecy;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;044;Pau;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;045;Besançon;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;046;Poitiers;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;047;Bayonne (partie française);CHAR;3
CODGEO;Code géographique;Code de la zone géographique;048;Dunkerque;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;049;Valence;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;050;Chambéry;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;051;La Rochelle;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;052;Quimper;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;053;Lorient;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;054;Troyes;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;055;Saint-Nazaire;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;056;Saint-Brieuc;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;057;Vannes;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;058;Colmar;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;059;Douai;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;060;Béziers;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;061;Montbéliard;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;062;Angoulême;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;063;Niort;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;064;Bourges;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;065;Chartres;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;066;La Roche-sur-Yon;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;067;Cholet;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;068;Boulogne-sur-Mer;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;069;Arras;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;070;Chalon-sur-Saône;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;071;Cherbourg-en-Cotentin;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;072;Narbonne;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;073;Calais;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;074;Blois;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;075;Laval;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;076;Beauvais;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;077;Maubeuge (partie française);CHAR;3
CODGEO;Code géographique;Code de la zone géographique;078;Compiègne;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;079;Roanne;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;080;Bourg-en-Bresse;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;081;Montauban;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;082;Albi;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;083;Évreux;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;084;Mâcon;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;085;Tarbes;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;086;Belfort;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;087;Brive-la-Gaillarde;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;088;Saint-Malo;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;089;Alès;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;090;Charleville-Mézières;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;091;Carcassonne;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;092;Fréjus;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;093;Agen;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;094;Saint-Quentin;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;095;Épinal;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;096;Saint-Omer;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;097;Nevers;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;098;Ajaccio;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;100;Châteauroux;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;101;Périgueux;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;102;Auxerre;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;103;Rodez;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;104;Bastia;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;105;Castres;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;106;Mont-de-Marsan;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;107;Montélimar;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;108;Cambrai;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;109;Montluçon;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;110;Vichy;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;111;Dax;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;112;Châlons-en-Champagne;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;113;Lannion;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;114;Dieppe;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;115;Le Puy-en-Velay;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;116;Alençon;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;117;Châtellerault;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;118;Sens;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;119;Gap;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;120;Saintes;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;121;Sarreguemines (partie française);CHAR;3
CODGEO;Code géographique;Code de la zone géographique;122;Moulins;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;123;Aurillac;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;124;Saint-Lô;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;125;Béthune;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;126;Draguignan;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;127;Haguenau;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;128;Soissons;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;129;Bergerac;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;130;Montargis;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;131;Royan;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;132;Lons-le-Saunier;CHAR;3
