COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
SNHM22;Salaire net horaire moyen en 2022 (€);Salaire net horaire moyen en 2022 (€);;;NUM;16
SNHMC22;Salaire net hor. Moy. Cadres sup. en 2022 (€);Salaire net horaire moyen des cadres, professions intellectuelles supérieures et des chefs d'entreprises salariés en 2022 (€);;;NUM;16
SNHMP22;Salaire net hor. moy. prof inter. en 2022 (€);Salaire net horaire moyen des professions intermédiaires en 2022 (€);;;NUM;16
SNHME22;Salaire net hor. moy. employés en 2022 (€);Salaire net horaire moyen des employés en 2022 (€);;;NUM;16
SNHMO22;Salaire net hor. moy. ouvriers en 2022 (€);Salaire net horaire moyen des ouvriers en 2022 (€);;;NUM;16
SNHMF22;Salaire net horaire moyen F en 2022 (€);Salaire net horaire moyen des femmes en 2022 (€);;;NUM;16
SNHMFC22;Salaire net hor. moy. F cadres sup. en 2022 (€);Salaire net horaire moyen des femmes cadres, professions intellectuelles supérieures et des chefs d'entreprises salariés en 2022 (€);;;NUM;16
SNHMFP22;Salaire net hor. moy. F prof inter. en 2022 (€);Salaire net horaire moyen des femmes exerçant une profession intermédiaire en 2022 (€);;;NUM;16
SNHMFE22;Salaire net hor. moy. F employés en 2022 (€);Salaire net horaire moyen des femmes employées en 2022 (€);;;NUM;16
SNHMFO22;Salaire net hor. moy. F ouvriers en 2022 (€);Salaire net horaire moyen des femmes ouvrières en 2022 (€);;;NUM;16
SNHMH22;Salaire net horaire moyen H en 2022 (€);Salaire net horaire moyen des hommes en 2022 (€);;;NUM;16
SNHMHC22;Salaire net hor. moy. H cadres sup. en 2022 (€);Salaire net horaire moyen des hommes cadres, professions intellectuelles supérieures et des chefs d'entreprises salariés en 2022 (€);;;NUM;16
SNHMHP22;Salaire net hor. moy. H prof inter. en 2022 (€);Salaire net horaire moyen des hommes exerçant une profession intermédiaire en 2022 (€);;;NUM;16
SNHMHE22;Salaire net hor. moy. H employés en 2022 (€);Salaire net horaire moyen des hommes employés en 2022 (€);;;NUM;16
SNHMHO22;Salaire net hor. moy. H ouvriers en 2022 (€);Salaire net horaire moyen des hommes ouvriers en 2022 (€);;;NUM;16
SNHM1822;Salaire net horaire moyen 18 à 25 ans en 2022 (€);Salaire net horaire moyen des personnes de 18 à 25 ans en 2022 (€);;;NUM;16
SNHM2622;Salaire net horaire moyen 26 à 50 ans en 2022 (€);Salaire net horaire moyen des personnes de 26 à 50 ans en 2022 (€);;;NUM;16
SNHM5022;Salaire net horaire moyen plus de 50 ans en 2022 (€);Salaire net horaire moyen des personnes de plus de 50 ans en 2022 (€);;;NUM;16
SNHMF1822;Salaire net horaire moyen F 18 à 25 ans en 2022 (€);Salaire net horaire moyen des femmes de 18 à 25 ans en 2022 (€);;;NUM;16
SNHMF2622;Salaire net horaire moyen F 26 à 50 ans en 2022 (€);Salaire net horaire moyen des femmes de 26 à 50 ans en 2022 (€);;;NUM;16
SNHMF5022;Salaire net horaire moyen F plus de 50 ans en 2022 (€);Salaire net horaire moyen des femmes plus de 50 ans en 2022 (€);;;NUM;16
SNHMH1822;Salaire net horaire moyen H 18 à 25 ans en 2022 (€);Salaire net horaire moyen des hommes  de 18 à 25 ans en 2022 (€);;;NUM;16
SNHMH2622;Salaire net horaire moyen H 26 à 50 ans en 2022 (€);Salaire net horaire moyen des hommes de 26 à 50 ans en 2022 (€);;;NUM;16
SNHMH5022;Salaire net horaire moyen H plus de 50 ans en 2022 (€);Salaire net horaire moyen des hommes de plus de 50 ans en 2022 (€);;;NUM;16
CODGEO;Code géographique;Code de la zone géographique;0051;Alençon;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;0052;Arles;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;0053;Avignon;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;0054;Beauvais;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;0055;Bollène-Pierrelatte;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;0056;Cosne-Cours-sur-Loire;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;0057;Dreux;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;0058;La Vallée de la Bresle-Vimeu;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;0059;Mâcon;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;0060;Nevers;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;0061;Nogent-le-Rotrou;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;0062;Redon;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;0063;Ussel;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;0064;Valréas;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;0101;Côte sous le vent;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;0102;Est Grande Terre;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;0103;Marie-Galante;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;0104;Région Pointoise;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;0105;Sud Basse-Terre;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;0201;Le Centre-Atlantique;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;0202;Le Centre agglomération;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;0203;Le Nord-Atlantique;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;0204;Le Nord-Caraibe;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;0205;Le Sud;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;0206;Le Sud-Caraibe;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;0301;Est-littoral;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;0302;Ouest-Guyanais;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;0303;Savanes;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;0401;L'Est;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;0402;L'Ouest;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;0403;Le Nord;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;0404;Le Sud;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;1101;Cergy-Vexin;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;1102;Coulommiers;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;1103;Etampes;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;1104;Evry;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;1105;Fontainebleau-Nemours;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;1106;Marne-la-Vallée;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;1107;Meaux;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;1108;Melun;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;1109;Paris;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;1110;Provins;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;1111;Rambouillet;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;1112;Roissy;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;1113;Saclay;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;1114;Seine-Yvelinoise;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;1115;Versailles-Saint-Quentin;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2401;Blois;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2402;Bourges;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2403;Chartres;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2404;Châteaudun;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2405;Châteauroux;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2406;Chinon;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2407;Gien;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2408;Loches;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2409;Montargis;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2410;Orléans;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2411;Pithiviers;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2412;Romorantin-Lanthenay;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2413;Tours;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2414;Vendôme;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2415;Vierzon;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2701;Autun;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2702;Auxerre;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2703;Avallon;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2704;Beaune;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2705;Belfort;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2706;Besançon;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2707;Chalon-sur-Saône;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2708;Charolais;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2709;Châtillon-Montbard;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2710;Creusot-Montceau;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2711;Dijon;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2712;Dole;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2713;Lons-le-Saunier;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2714;Montbéliard;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2715;Pontarlier;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2716;Saint-Claude;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2717;Sens;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2718;Vesoul;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2801;Argentan;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2802;Avranches;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2803;Bernay;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2804;Caen;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2805;Cherbourg en Cotentin;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2806;Coutances;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2807;Dieppe-Caux maritime;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2808;Evreux;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2809;Flers;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2810;Granville;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2811;Honfleur Pont-Audemer;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2812;L'Aigle;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2813;Le Havre;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2814;Lisieux;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2815;Rouen;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2816;Saint-Lô;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2817;Vernon-Gisors;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2818;Vire Normandie;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;2819;Yvetot-Vallée du Commerce;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;3201;Abbeville;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;3202;Amiens;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;3203;Arras;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;3204;Berck;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;3205;Béthune;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;3206;Boulogne-sur-Mer;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;3207;Calais;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;3208;Cambrai;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;3209;Château-Thierry;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;3210;Compiègne;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;3211;Creil;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;3212;Douai;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;3213;Dunkerque;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;3214;Laon;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;3215;Lens;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;3216;Lille;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;3217;Maubeuge;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;3218;Roubaix-Tourcoing;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;3219;Saint-Omer;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;3220;Saint-Quentin;CHAR;4
CODGEO;Code géographique;Code de la zone géographique;3221;Soissons;CHAR;4
